date,stock_symbols,body,score
Tue Oct 13 12:09:26 UTC 2009,"AAPL,GOOG","<neutral>RT @wood83 @Dasan $AAPL &amp; $GOOG are sporting 30+ P/Es but no longer grow that fast, will E catch up or P slow down?</neutral>",0
Tue Oct 13 13:41:26 UTC 2009,"AAPL,AMZN,GOOG,PCLN,RIG","<neutral>HEDGE FUND VIP LIST, $PCLN $AMZN, $RIG, $AAPL,$GOOG$QCOM$VISA ,many others per GS rpt</neutral>",0
Tue Oct 13 15:24:54 UTC 2009,GOOG,"<positive>2-3 Long range $GOOG is set to peak at $1000, although I doubt it could hold there for longer than a couple of weeks.  </positive>",2
Tue Oct 13 15:41:15 UTC 2009,GOOG,<neutral>$GOOG back above 425. It wants to go up.</neutral>,0
Tue Oct 13 15:42:11 UTC 2009,GOOG,<very positive>Correction $GOOG above 525 not 425. It indeed has come a long way.</very positive>,4
Tue Oct 13 16:00:12 UTC 2009,"AAPL,BAC,C,GOOG,GS,JNJ,SPY","<neutral>$SPY 107.58, $GS 186.30, $BAC 17.81, $AAPL 190.52, $GOOG 525.17, $JNJ 60.80, $C 4.83 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Tue Oct 13 20:17:15 UTC 2009,"GOOG,INTC",<positive>$INTC  will help $GOOG!!!!</positive>,1
Tue Oct 13 20:18:08 UTC 2009,"GOOG,INTC",<neutral>$GOOG $INTC getting $GOOG to 530 now</neutral>,0
Tue Oct 13 21:05:26 UTC 2009,"GOOG,INTC,JPM,WFC","<positive>$INTC, $JPM, $GOOG, $WFC upgrades to come. Let&#39;s get it over with and just upgrade everything. The bull vs bears arguement is over.</positive>",3
Wed Oct 14 02:18:56 UTC 2009,GOOG,"<very negative>Hmm, Google ($GOOG) Building Maker. How productive. I&#39;d short the stock on this, but too strong at the moment. -&gt;  http://bit.ly/1fmwDW</very negative>",-5
Wed Oct 14 11:08:46 UTC 2009,GOOG,<neutral>$GOOG headed for 550</neutral>,0
Wed Oct 14 12:26:31 UTC 2009,GOOG,<positive>Back in 04/08 $GOOG jumped $100 after earnings to around 550. This time it may very well go above 600. </positive>,1
Wed Oct 14 12:28:37 UTC 2009,GOOG,<positive>@thinkingtrades Thaaaaat was a fun AH trade if you were long. *lol*  $GOOG $$</positive>,2
Wed Oct 14 12:32:56 UTC 2009,GOOG,<very positive>@traderkos went long $GOOG when Schmidt implicitly endorsed it a few days back .</very positive>,4
Wed Oct 14 12:33:59 UTC 2009,GOOG,<positive>@thinkingtrades Gotta love $GOOG</positive>,3
Wed Oct 14 14:10:15 UTC 2009,"C,GOOG,GS,HOG,IBM","<neutral>Expected earnings moves vs. recent past moves for $C, $GS, $GOOG, $HOG, $IBM http://bit.ly/33uc9i </neutral>",0
Wed Oct 14 15:25:26 UTC 2009,"AAPL,GOOG",<positive>$GOOG is a thing of beauty today. $AAPL too waking up.</positive>,3
Wed Oct 14 15:36:41 UTC 2009,GOOG,<very positive>$GOOG 530/540/550/560 Iron condor looks good with 4:1 risk reward. GOOG needs to stay between 540 and 550 for max reward.</very positive>,4
Wed Oct 14 18:39:54 UTC 2009,GOOG,"<negative>Ill buy right at close $GOOG tommarrow some call lotto tickets or maybe puts depends how I feel, but mostlikely calls</negative>",-2
Wed Oct 14 18:49:54 UTC 2009,GOOG,<neutral>would taxpayer-funded health care propaganda boost $GOOG earnings?</neutral>,0
Wed Oct 14 19:07:38 UTC 2009,GOOG,"<neutral>CBOE  $GOOG calls active on 41K contracts, puts on 27K into EPS and ad outlook as shares trend to 15-month high</neutral>",0
Wed Oct 14 19:38:44 UTC 2009,GOOG,<neutral>$goog dont we want to sell off here</neutral>,0
Wed Oct 14 21:35:39 UTC 2009,GOOG,<neutral>$GOOG --- buy at the money vertical based on your bias or wide OTM butterfly e.g. 500/510/520 puts</neutral>,0
Wed Oct 14 22:00:04 UTC 2009,"BAC,C,GOOG,GS,INTC,JPM,SPY","<neutral>$JPM 47.17, $INTC 20.83, $GS 193.16, $BAC 18.57, $C 4.98, $SPY 109.33, $GOOG 535.32 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Thu Oct 15 03:00:03 UTC 2009,"BAC,C,GOOG,GS,INTC,JPM,SPY","<neutral>$JPM 47.17, $GS 193.16, $INTC 20.83, $BAC 18.57, $C 4.98, $SPY 109.33, $GOOG 535.32 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Thu Oct 15 08:21:38 UTC 2009,GOOG,"<negative>RT @gundijif $GOOG hasta donde puede llegar!!! // english man, english</negative>",-3
Thu Oct 15 09:00:04 UTC 2009,"BAC,C,GOOG,GS,INTC,JPM,SPY","<neutral>$JPM 47.17, $GS 193.16, $INTC 20.83, $BAC 18.57, $C 4.98, $SPY 109.33, $GOOG 535.32 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Thu Oct 15 13:30:09 UTC 2009,GOOG,<very negative>$goog covered +1.1 dont want the risk into earnings could be big mistake</very negative>,-4
Thu Oct 15 14:59:21 UTC 2009,GOOG,<negative>vol coming out of $GOOG on day before earnings. while stock is at day low. odd....</negative>,-3
Thu Oct 15 15:06:40 UTC 2009,"GOOG,YHOO",<very negative>The &quot;discussion&quot; on the $GOOG finance site are worse than the $YHOO message boards were 10yrs ago. Shame...spam sucks!</very negative>,-7
Thu Oct 15 15:11:20 UTC 2009,GOOG,"<very negative>@attitrade I agree about those $GOOG finance boards, they r way terrible.  1 of their few failures.  But I like their finance page otherwise</very negative>",-5
Thu Oct 15 16:27:45 UTC 2009,GOOG,<neutral>anyone buying $GOOG before the numbers?</neutral>,0
Thu Oct 15 17:00:04 UTC 2009,"AAPL,AIG,BAC,C,GOOG,GS,SPY","<neutral>$GS 188.24, $C 4.73, $GOOG 530.96, $AIG 45.16, $BAC 18.04, $SPY 109.04, $AAPL 189.92 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Thu Oct 15 17:30:43 UTC 2009,"ES_F,GOOG",<positive>we have $GOOG as well $ES_F</positive>,1
Thu Oct 15 17:59:32 UTC 2009,"AAPL,DELL,GOOG,IBM,INTC,MSFT,T,VZ,YHOO",<neutral>RT @jimgoldman Google Fuels the Tech Fire http://bit.ly/10z5cI $AAPL $DELL $GOOG $IBM $INTC $MSFT $T $VZ $YHOO</neutral>,0
Thu Oct 15 18:00:04 UTC 2009,"AAPL,AIG,BAC,C,GOOG,GS,SPY","<neutral>$GS 187.76, $C 4.67, $GOOG 530.08, $AIG 45.15, $SPY 109.16, $BAC 17.99, $AAPL 189.96 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Thu Oct 15 18:02:56 UTC 2009,GOOG,<neutral>$GOOG time today after the close!</neutral>,0
Thu Oct 15 18:13:45 UTC 2009,GOOG,<neutral>looks like some fellas are trying to push $GOOG down</neutral>,0
Thu Oct 15 18:35:54 UTC 2009,GOOG,<neutral>$goog 528.81</neutral>,0
Thu Oct 15 18:54:24 UTC 2009,GOOG,<very positive>RT @HamzeiAnalytics $GOOG put/call is 0.31 (dollar weighted ) that is BULLISH here !!</very positive>,5
Thu Oct 15 18:58:19 UTC 2009,GOOG,<neutral>$goog out +.95</neutral>,0
Thu Oct 15 19:38:46 UTC 2009,"AMD,TPX,PBCT,NARA,IBM,HRLY,GOOG,CYT,CBST,UFPI",<neutral>Keep in Mind via @Stockguy22 earnings tonight on $AMD $CBST $CYT $GOOG $HRLY $GOOG $HRLY $IBM $NARA $PBCT $TPX $UFPI </neutral>,0
Thu Oct 15 20:01:59 UTC 2009,GOOG,<neutral>$goog crushes it</neutral>,0
Thu Oct 15 20:02:16 UTC 2009,GOOG,<neutral>$GOOG up $10 in ah!</neutral>,0
Thu Oct 15 20:02:23 UTC 2009,GOOG,<positive>LOL   RT @sellputs $GOOG taking off like a BALLOON</positive>,2
Thu Oct 15 20:02:40 UTC 2009,GOOG,<neutral>$goog</neutral>,0
Thu Oct 15 20:02:58 UTC 2009,GOOG,<negative>$goog slam dunk!</negative>,-2
Thu Oct 15 20:03:11 UTC 2009,GOOG,<neutral>Big numbers for $GOOG</neutral>,0
Thu Oct 15 20:13:12 UTC 2009,GOOG,<positive>It seems yesterday&#39;s idea of 560/550/540/530 iron condor for 8.50 credit on $GOOG worked beautifully. Looks like will stay between 440-450.</positive>,3
Thu Oct 15 20:14:33 UTC 2009,GOOG,<very positive>Meant to stay $GOOG will stay between 540-550. Always forget that it has come a long way ;-) </very positive>,4
Thu Oct 15 20:39:52 UTC 2009,"AAPL,GOOG","<negative>$GOOG is ok, $AAPL is next. Apple is scary though</negative>",-3
Thu Oct 15 21:01:51 UTC 2009,GOOG,<neutral>RT @StockTwits Great discussions happening on the $GOOG stream after earnings: http://bit.ly/31Sasp</neutral>,0
Thu Oct 15 21:03:16 UTC 2009,"GOOG,IBM","<neutral>going to go get some pepto bismol and some voodoo dolls, looking for a 550 pin on $GOOG and a bounce in $IBM</neutral>",0
Thu Oct 15 21:04:34 UTC 2009,GOOG,<positive>@stevenplace I don&#39;t care as long as you have $GOOG pinned between 540 and 550.</positive>,2
Thu Oct 15 22:16:22 UTC 2009,GOOG,<positive>ty $GOOG !!!! I needed that.</positive>,1
Thu Oct 15 22:41:43 UTC 2009,"GOOG,IBM","<neutral>Tomorrow: Aft hrs, $GOOG  beat  &amp; trd 4% up,  $IBM just  beat &amp; sld 3.6%. No mkt reaction $$</neutral>",0
Thu Oct 15 23:00:05 UTC 2009,"AAPL,AIG,BAC,C,GOOG,GS,SPY","<neutral>$GS 188.51, $GOOG 529.91, $C 4.74, $AIG 44.57, $SPY 109.30, $BAC 18.07, $AAPL 190.56 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Thu Oct 15 23:00:39 UTC 2009,GOOG,<neutral>Can&#39;t wait till tomarrow to see how $GOOG stock reacts.</neutral>,0
Fri Oct 16 00:42:33 UTC 2009,"FBOOK,GOOG,TWIT","<negative>With $goog stock price back at $550, it would be insane not for them to close 5-10 key acquisitions.....$fbook or $twit or stocktwits??</negative>",-1
Fri Oct 16 06:00:04 UTC 2009,"AAPL,AIG,BAC,C,GOOG,GS,SPY","<neutral>$GS 188.51, $GOOG 529.91, $C 4.74, $AIG 44.57, $BAC 18.07, $SPY 109.30, $AAPL 190.56 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Fri Oct 16 12:00:04 UTC 2009,"AIG,BAC,C,GOOG,GS,SPY","<neutral>$GOOG 529.91, $GS 188.51, $C 4.74, $BAC 18.07, $AIG 44.57, $SPY 109.30 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Fri Oct 16 14:21:06 UTC 2009,GOOG,<positive>RT @sellputs just flipped the $GOOG 555 call for .40 in about .45 sec ****that&#39;s why i love opex. whatta rush!</positive>,3
Fri Oct 16 15:28:05 UTC 2009,GOOG,"<neutral>$GOOG upgraded to $680 in 2010 due 2 higher Margins.  Only a 3% insrease so far, maybe $GOOG will rally more later http://bit.ly/4xfAvC</neutral>",0
Fri Oct 16 15:33:57 UTC 2009,GOOG,<neutral>$GOOG @ 52 week high!</neutral>,0
Fri Oct 16 15:40:17 UTC 2009,GOOG,<neutral>$goog</neutral>,0
Fri Oct 16 15:41:22 UTC 2009,"FRO,GMR,GOOG,HAL,HRS,POT","<neutral>Just checked portfolio/watchlist for movers up&gt;3$: $HRS $FRO $GMR $GOOG $HAL RYL and maybe $POT (+2,6%) all others below or in the red  $$</neutral>",0
Fri Oct 16 15:45:10 UTC 2009,GOOG,<positive>$$ would be nice for the common man if $GOOG splits 10 to 1 = would be $55.35 now</positive>,2
Fri Oct 16 15:51:44 UTC 2009,GOOG,<neutral>$goog sold 1/2 553.16</neutral>,0
Fri Oct 16 16:00:05 UTC 2009,"BAC,C,GE,GOOG,GS,IBM,SPY","<neutral>$GOOG 553.13, $BAC 17.41, $GS 184.33, $SPY 108.54, $IBM 121.56, $GE 16.02, $C 4.63 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Fri Oct 16 16:11:55 UTC 2009,GOOG,<positive>$GOOG is a great buy once it closes above 557. A move to 600 will happen quickly IMO. Accumulating calls on it.</positive>,3
Fri Oct 16 16:26:01 UTC 2009,GOOG,<neutral>$goog</neutral>,0
Fri Oct 16 16:33:41 UTC 2009,GOOG,<negative>$goog sold the rest look to buy back lower</negative>,-2
Fri Oct 16 16:39:41 UTC 2009,GOOG,"<very positive>$GOOG , long oct 550 puts for a day trade @ .70</very positive>",4
Fri Oct 16 16:49:09 UTC 2009,GOOG,"<positive>$GOOG, 1/2 off @ 1.05 + 50%, not a bad 5 mins</positive>",2
Fri Oct 16 16:50:01 UTC 2009,GOOG,"<neutral>$GOOG, that was the 550 oct puts @ 1.05</neutral>",0
Fri Oct 16 16:55:38 UTC 2009,GOOG,"<neutral>$GOOG, rest of the 550 oct puts to b/e @ .70</neutral>",0
Fri Oct 16 18:15:05 UTC 2009,GOOG,"<neutral>$GOOG, out 2nd 1/2 GOOG oct 550 puts b/e</neutral>",0
Fri Oct 16 19:48:32 UTC 2009,GOOG,"<neutral>$GOOG, lon oct 550 puts @ .30</neutral>",0
Fri Oct 16 19:49:28 UTC 2009,GOOG,<positive>@stevenplace are you closing the $GOOG position or just letting it expire? Thanks.</positive>,2
Fri Oct 16 19:59:48 UTC 2009,GOOG,"<positive>$GOOG, out the puts -.15, perfect pin action at the 550 on GOOG</positive>",2
Fri Oct 16 21:00:05 UTC 2009,"AAPL,BAC,GE,GOOG,GS,SPY","<neutral>$BAC 17.48, $GOOG 549.85, $GS 185.00, $AAPL 188.05, $SPY 108.89, $GE 16.16 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Sat Oct 17 07:29:02 UTC 2009,GOOG,<neutral>RT @stockmarketsoup Google tenth of Internet traffic - http://j.mp/SsFbg $GOOG</neutral>,0
Sat Oct 17 17:24:59 UTC 2009,GOOG,<neutral>Watched the video on Google Wave and i wonder how $GOOG is going to monetize it. is #adsense their only avenue? Anti-trust?</neutral>,0
Sun Oct 18 13:12:00 UTC 2009,GOOG,"<very negative>Will mobile search cannibalize desktop search? Most co. fail 2 cross chasm, afraid of killing cash cow. $GOOG not falling into that trap. </very negative>",-11
Mon Oct 19 02:58:30 UTC 2009,GOOG,<neutral>just saw a $GOOG commercial for Android on TV? whats up with that?</neutral>,0
Mon Oct 19 03:46:51 UTC 2009,"AAPL,GOOG,RIMM",<neutral>What $aapl did not do to $rimm...$goog android will.  I predict i will fully be switched off $rimm within 6 months</neutral>,0
Mon Oct 19 04:00:03 UTC 2009,"AAPL,GOOG,RIMM,SPY,USO","<neutral>$AAPL 188.05, $USO 40.45, $GOOG 549.85, $SPY 108.89, $RIMM 66.91 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Mon Oct 19 08:00:03 UTC 2009,"AAPL,GOOG,RIMM,SPY,USO","<neutral>$AAPL 188.05, $GOOG 549.85, $RIMM 66.91, $SPY 108.89, $USO 40.45 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Mon Oct 19 11:00:04 UTC 2009,"AAPL,GOOG,GS,RIMM,SPY","<neutral>$AAPL 188.05, $GOOG 549.85, $RIMM 66.91, $GS 185.00, $SPY 108.89 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Mon Oct 19 18:46:09 UTC 2009,"AAPL,GOOG",<negative>Commodities alone won&#39;t be able to take the market much further. $AAPL &amp; $GOOG look tired.</negative>,-3
Mon Oct 19 18:51:02 UTC 2009,"AAPL,GOOG",<negative>RT @thinkingtrades Commodities alone won&#39;t be able to take the market much further. $AAPL &amp; $GOOG look tired.</negative>,-3
Mon Oct 19 19:40:55 UTC 2009,GOOG,"<neutral>Uh oh, Google ($goog) Voice voicemails apearing in search results. --&gt;  http://bit.ly/1badXp  #google</neutral>",0
Tue Oct 20 00:12:33 UTC 2009,GOOG,<neutral>Raytheon Sends Droid To Battlefield  http://bit.ly/3pgCZW  $GOOG</neutral>,0
Tue Oct 20 15:18:55 UTC 2009,"AAPL,GOOG,MSFT","<negative>RT @xpromac $AAPL surpasses $GOOG in Market Cap. (and only 50b diff between $aapl &amp; $msft, pass them by end 2010? then jobs can retire ;)</negative>",-2
Tue Oct 20 19:51:03 UTC 2009,GOOG,<neutral>Impressive comeback by $GOOG</neutral>,0
Tue Oct 20 20:13:30 UTC 2009,"GOOG,YHOO","<negative>$YHOO I feel sorry for this company!, not an ounce of what it was when the stock was $400 -$GOOG took $YHOO thunder since 2004</negative>",-2
Tue Oct 20 20:53:11 UTC 2009,GOOG,<positive>http://chart.ly/kehv58 $GOOG a couple nice swing longs since May. Waiting for trail stop take me out.</positive>,1
Wed Oct 21 02:43:50 UTC 2009,"GOOG,RIMM,S","<negative>10 min, in NYC Sunday i busted my blackberry, got a new HTC Hero $goog at $S store.....$rimm is in trouble...</negative>",-2
Wed Oct 21 15:24:01 UTC 2009,"AAPL,GOOG",<neutral>$AAPL and $GOOG have been liberated. </neutral>,0
Wed Oct 21 20:03:11 UTC 2009,"AAPL,AMZN,GOOG,OIH,RIG","<neutral>Can&#39;t believe I got out of $AMZN, $AAPL, $OIH and $RIG calls before the sell off. Only stuck with a partial $GOOG position.</neutral>",0
Wed Oct 21 20:03:33 UTC 2009,GOOG,<positive>BTW $GOOG held like a champ.</positive>,2
Wed Oct 21 20:09:25 UTC 2009,GOOG,<very positive>still long $GOOG calls. its holding nicely...for now.</very positive>,6
Wed Oct 21 23:15:40 UTC 2009,GOOG,"<neutral>$GOOG - 3 doji&#39;s in as many days. It&#39;s coiling, a big move is coming. A close above 557 and it blasts off. Better to wait for it to happen.</neutral>",0
Thu Oct 22 01:22:40 UTC 2009,GOOG,<very negative>holly googlelishous! look @ the nasty $GOOG &#39;s nasty reverse hammer candle today!</very negative>,-6
Thu Oct 22 03:26:58 UTC 2009,"AAPL,GOOG,MSFT",<very negative>http://bit.ly/12qHv4  WSJ: facebook too $AAPL - FUCK YOU!! WSJ: $GOOG TO $AAPL AND $MSFT - FUCK YOU!!   http://bit.ly/2fsYdd</very negative>,-8
Thu Oct 22 03:43:36 UTC 2009,GOOG,<neutral>@syalam omgosh... $goog is becoming too powerful </neutral>,0
Thu Oct 22 13:25:47 UTC 2009,"AAPL,GOOG",<neutral>$AAPL (184 billion) is now worth more than $GOOG (174 billion).  Does that make sense?  http://bit.ly/2fZQpV (via @gigaom)</neutral>,0
Thu Oct 22 13:28:11 UTC 2009,"AAPL,GOOG",<negative>RT @abnormalreturns $AAPL (184 billion) is now worth more than $GOOG (174 billion).  Does that make sense?  http://bit.ly/2fZQpV</negative>,-3
Thu Oct 22 16:56:16 UTC 2009,"AAPL,BIDU,FIRE,GMCR,GOOG,GS,HGSI,HMIN,MS","<very positive>positive signs so far today $AAPL &amp; $GOOG flat, $BIDU, $GS &amp; $MS up, $GMCR $HGSI $FIRE $HMIN holding support</very positive>",5
Fri Oct 23 00:19:27 UTC 2009,"AAPL,GOOG","<very positive>It&#39;s amazing when stocks like $AAPL and $GOOG make huge runs and barely give anything back, maybe a sign they want to go higher? $$</very positive>",5
Fri Oct 23 14:44:12 UTC 2009,GOOG,<neutral>Bought $GOOG Nov 560 calls.</neutral>,0
Fri Oct 23 14:49:28 UTC 2009,"AAPL,AMZN,GOOG","<negative>Seems weird in face of big moves in $AMZN, $GOOG, $AAPL, but my 800+ stock universe shows anti-momentum over the past few days</negative>",-2
Fri Oct 23 16:50:50 UTC 2009,GOOG,<positive>$GOOG is on the launch pad of 557. Hope today is the day.</positive>,3
Sat Oct 24 01:56:45 UTC 2009,"AAPL,GOOG","<neutral>RT @joshr seesmic has implemented @stocktwits on seesmic web, converting $GOOG and $AAPL to links :)</neutral>",0
Sun Oct 25 17:10:09 UTC 2009,"AMZN,GOOG",<very positive>$$ Bought $AMZN $100 puts on Friday. A $12B gain in market cap in a day? $GOOG never made a run like that - ever! Party like 1999.</very positive>,4
Sun Oct 25 23:21:15 UTC 2009,"GOOG,YHOO","<neutral>Barron&#39;s Says &quot;Swap $Yhoo!, for $Goog&quot;    http://bit.ly/1hkz2J</neutral>",0
Sun Oct 25 23:53:03 UTC 2009,"GOOG,YHOO","<neutral>Barron&#39;s Says &quot;Swap $Yhoo!, for $Goog&quot;  http://bit.ly/4rTcLG</neutral>",0
Mon Oct 26 12:09:16 UTC 2009,"AMZN,BIDU,GOOG,WMT",<neutral>$WMT :: $AMZN so $GOOG :: $BIDU</neutral>,0
Mon Oct 26 13:07:39 UTC 2009,GOOG,<neutral>Looking for $GOOG to finally pull away.</neutral>,0
Mon Oct 26 14:24:22 UTC 2009,GOOG,<negative>$GOOG should be on its way to 600 now barring unforeseen weather conditions.</negative>,-2
Mon Oct 26 14:25:30 UTC 2009,GOOG,<negative>RT @thinkingtrades $GOOG should be on its way to 600 now barring unforeseen weather conditions.</negative>,-2
Mon Oct 26 20:57:00 UTC 2009,"AME,UCO,MHP,MCO,LINE,JNK,IPI,GOOG,DBC,DBB,UTX",<very negative>bearish signal stocks given today: $UTX $IPI $LINE $UCO $JNK $DBB $MHP $GOOG $DBC $AME $MCO</very negative>,-5
Mon Oct 26 21:35:40 UTC 2009,"BIDU,GOOG","<neutral>$GOOG no wonder I got a sell signal today, $BIDU following suit!</neutral>",0
Tue Oct 27 00:05:55 UTC 2009,"BIDU,GOOG",<very positive>$GOOG held up pretty well but $BIDU may do it in tomorrow atleast at the open. Still not able to close above 557.</very positive>,4
Tue Oct 27 12:54:48 UTC 2009,"BIDU,GOOG",<negative>$BIDU is a short on any rally towards 375.  $GOOG calls and $BIDU puts looks like a good pair trade. </negative>,-2
Tue Oct 27 14:38:52 UTC 2009,"AAPL,AMZN,ARST,CREE,FFIV,GOOG,PCLN","<neutral>$$ There is definately rotation out of leading stocks, BUT $AAPL $PCLN $GOOG $AMZN $CREE $ARST $FFIV not commiting any technical fouls</neutral>",0
Tue Oct 27 16:23:23 UTC 2009,"GOOG,RIMM","<very positive>loved my bberry curve, my android makes it a commodore 64... $rimm $goog</very positive>",4
Tue Oct 27 16:43:53 UTC 2009,"AAPL,GOOG","<very negative>$$ Galleon hedge funds 90 pct liquidated, according to source - Reuters $AAPL $GOOG 2 larger positions</very negative>",-4
Tue Oct 27 20:49:56 UTC 2009,GOOG,<neutral>$GOOG voice can now take control of voicemail --&gt;  http://bit.ly/404zbA  #google</neutral>,0
Tue Oct 27 20:52:02 UTC 2009,GOOG,<neutral>Jaguar made the move to $GOOG apps.  Smart.  http://bit.ly/2NvUq7  $$ #google </neutral>,0
Wed Oct 28 01:07:40 UTC 2009,"AAPL,GOOG,RIMM",<negative>Very seldom do Gen I tech companies like $RIMM dominate in Gen II. It is a new day $AAPL &amp; $GOOG will dominate Gen II.</negative>,-2
Wed Oct 28 14:24:31 UTC 2009,"GOOG,GRMN",<very negative>very bad news for $GRMN http://bit.ly/fbMDd $GOOG</very negative>,-4
Wed Oct 28 19:54:21 UTC 2009,"AAPL,AMZN,GOOG",<neutral>no urge to buy this dip.  rather see strength.  humongous damage in all but $amzn $aapl and $goog and they may play catch up down...</neutral>,0
Thu Oct 29 16:11:38 UTC 2009,"AAPL,UPRO,TZA,TNA,SPY,SPXU,RIMM,QQQQ,IWM,GS,GOOG,GE,FAZ,FAS,F,DIA,CIT,C,XLF",<neutral>halftime report at http://www.swing-high.com/ $SPY $DIA $QQQQ $IWM $TNA $TZA $XLF $FAS $FAZ $SPXU $UPRO $C $GE $GS $CIT $AAPL $RIMM $GOOG $F</neutral>,0
Thu Oct 29 16:51:05 UTC 2009,"AAPL,GOOG,MOT",<positive>$VX $GOOG $AAPL $MOT I can&#39;t wait to get my new droid phone in two weeks.  It will be a pleasure to switch from my i-phone and ATT </positive>,3
Thu Oct 29 17:18:24 UTC 2009,"AAPL,GOOG,MOT",<neutral>I agree with @a_f that you must look at who $aapl and $goog are teaming with ($mot) and who those teamups will kill and Garmin seems kaput </neutral>,0
Thu Oct 29 17:20:06 UTC 2009,"AAPL,GOOG,GRMN,PALM","<neutral>RT @howardlindzon agrees with @a_f that you must look at who $aapl and $goog team w/ &amp; who that will kill: $GRMN seems kaput &gt;&gt;&gt; $PALM, too</neutral>",0
Thu Oct 29 17:32:38 UTC 2009,GOOG,<neutral>bought more $GOOG DEC600 calls yesterday.</neutral>,0
Thu Oct 29 20:37:42 UTC 2009,"AAPL,WFC,SRS,SLB,RIMM,MA,JPM,JNJ,INTC,GS,GOOG,GE,EBAY,BIDU,BAC,AMZN,YHOO",<neutral>post market analysis at http://www.swing-high.com/ $GOOG $RIMM $BIDU $AAPL $INTC $AMZN $EBAY $YHOO $BAC $JPM $JNJ $GE $GS $WFC $SRS $SLB $MA</neutral>,0
Fri Oct 30 02:04:27 UTC 2009,"AMZN,GOOG","<neutral>Just heard @wsmco dissect my article on his show http://bit.ly/1GVWSL $$. Funny u mentioned $GOOG $AMZN, had them in draft but cut for space</neutral>",0
